ISO3,Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
AZE,Azerbaijan,43.06882865,42.92449393,43.52068148,43.84102699,43.79361896,43.83373674,44.5342028,46.58214375,46.94137244,47.30542285,47.8059908,45.54209764,45.7102721,45.76403811,47.6419031,47.13420722,47.46696826,47.33702762,48.6041874,49.92117589,50.40498493,51.34554869,50.77992902,50.98583866,52.03643599,51.27248495,51.95564701,51.75034465
BHS,Bahamas,48.97250906,49.02302537,49.24570588,49.34351571,49.47930035,49.75582345,49.96394147,50.20804239,50.09565442,50.26133384,51.39494386,54.53401269,54.74602513,50.08193956,49.50239097,49.46783186,49.64026822,49.98214298,49.59582999,49.88072668,49.46783174,49.06136783,48.67768101,48.51064453,48.61288423,48.31511692,48.46433441,48.46374532
BHR,Bahrain,46.67691866,46.5831777,46.8775268,47.1975794,47.49081224,47.83346514,48.5604227,49.2434191,49.15559365,49.30935125,49.90234506,52.81750678,53.62681459,50.83812283,51.19637469,51.06356579,51.35344271,51.47632348,51.49975028,52.38757128,52.21484353,51.6884271,51.28399269,51.35335452,51.7737472,53.2725696,54.30612524,54.77009037
BGD,Bangladesh,38.14901211,38.20846197,38.05138937,38.63244029,38.43879975,38.2796771,37.95122014,37.8535735,37.58459977,37.29441197,38.5460114,42.71247027,42.90795183,43.49073982,43.65106649,45.11957491,45.30113443,45.67148605,45.87022014,35.38537757,35.45403907,36.56599873,36.94964301,37.3011692,37.31169077,37.63175157,36.21342438,36.02837863
BRB,Barbados,55.75706046,55.78689731,55.86863325,55.99537101,56.17854435,56.61796921,56.66752735,56.32274518,56.76953324,57.56695078,58.63736617,61.82416603,62.28262629,62.4624865,61.67929854,62.76900094,63.62099359,57.69504075,57.8915445,57.44012555,58.05369811,57.23845382,57.8959776,57.51699958,57.68472357,58.22008216,60.88498398,61.06022037
BLR,Belarus,49.9800925,50.37410294,50.30365959,50.70279124,50.73037244,50.44475695,50.57622809,50.58175025,51.88359529,51.81690868,51.87591795,49.54044398,50.6575119,51.71492298,53.9731096,53.98507307,54.73253218,56.1366874,56.2970704,55.88908415,55.76288931,56.98731589,58.19885352,58.54655908,59.17848394,57.85357103,57.63828334,57.05848424
BEL,Belgium,59.37399374,59.65783626,59.56421096,59.0557628,59.14841148,59.50961194,59.69263513,60.18917105,59.76834946,60.04016169,59.80090379,61.0513967,61.29607674,61.70689078,62.13111647,61.71421282,62.07140728,62.48631881,62.84883821,63.61294622,63.56262357,63.24563196,62.89931526,62.38827859,62.82996056,63.19911619,63.5606807,63.4522143
BLZ,Belize,43.92439374,44.34413896,44.21781822,44.57636855,44.5267604,44.81078561,44.79478358,45.64481188,45.80200949,44.74365258,45.78951558,43.02497083,42.90302456,42.98745326,43.24804971,43.1647282,42.7862505,43.22999495,43.85049175,42.90018387,43.50564632,43.52591809,43.51789536,43.53798289,43.29562567,43.5360405,43.24500604,43.67561291
BEN,Benin,38.94210587,38.79649318,38.75588488,38.72264183,38.65633089,38.5947577,38.13320478,37.85250935,38.05520286,37.79896401,36.92562935,36.11503986,36.43265405,35.84600999,35.42318828,34.27760961,34.67538289,34.61565068,35.3029581,35.2883,36.25902709,36.09772155,36.78033481,37.30537878,37.22298742,37.75628407,37.8253644,38.34051844
BTN,Bhutan,41.6845998,41.64507781,41.59678476,41.56148918,41.46792113,41.37718234,40.65076231,41.36254341,42.46718652,41.59430185,42.23064876,40.75844451,42.26881716,43.27510766,43.2821993,42.66684474,42.78357662,43.17138148,43.60429461,45.22671388,45.62879078,47.25797875,47.76747204,48.2599955,48.41778475,48.65143539,47.346218,47.56446277
