Score,Coalition,HAC,AOSIS,FFTreaty
92559.69276209758,"['Greece', 'Ireland', 'Saint Vincent and the Grenadines', 'Sao Tome and Principe', 'Tunisia', 'Uruguay']",True,True,False
92558.43608532407,"['Albania', ""Cote d'Ivoire"", 'Libya', 'Panama', 'Spain', 'Uruguay']",True,False,False
92524.73329412813,"['Congo, Democratic Republic of', 'Gabon', 'Greece', 'Ireland', 'Jamaica', 'Tunisia']",True,True,False
92522.56469839068,"['Greece', 'Ireland', 'Jamaica', 'Nepal', 'Pakistan', 'Tunisia']",True,True,False
92320.2505921724,"['Austria', 'New Zealand', 'Panama', 'Sweden', 'Tunisia', 'Uruguay']",True,False,False
92226.65551192919,"['Finland', 'Nigeria', 'Romania', 'Tunisia', 'Ukraine', 'Uruguay']",True,False,False
91871.34701710308,"['Angola', 'Greece', 'Ireland', 'Morocco', 'Trinidad and Tobago', 'Uruguay']",True,True,False
91640.18407958413,"['Brunei Darussalam', 'Greece', 'Ireland', 'Jamaica', 'Tunisia', 'Uruguay']",True,True,False
91595.9896454723,"['Gambia', 'Greece', 'Guinea-Bissau', 'Ireland', 'Jamaica', 'Tunisia']",True,True,False
91509.02127679375,"['Greece', 'Kazakhstan', 'Morocco', 'Nigeria', 'Spain', 'Uruguay']",True,False,False
91318.46743509248,"['Greece', 'Ireland', 'Jamaica', 'Solomon Islands', 'Tunisia', 'Uruguay']",True,True,True
91025.89777426436,"['Greece', 'Ireland', 'Jamaica', 'Laos', 'Malawi', 'Tunisia']",True,True,False
90980.2832633326,"['Antigua and Barbuda', 'Greece', 'Grenada', 'Ireland', 'Tunisia', 'Uruguay']",True,True,False
90586.6228356556,"['Israel', 'Malta', 'Nigeria', 'Spain', 'Trinidad and Tobago', 'Uruguay']",True,True,False
90495.75297485915,"['Mauritius', 'Moldova', 'Norway', 'Slovakia', 'Tunisia', 'Uruguay']",True,True,False
90431.02417683693,"['Djibouti', 'Greece', 'Ireland', 'Jamaica', 'Somalia', 'Tunisia']",True,True,False
90171.13751173967,"['Bulgaria', 'Myanmar', 'Norway', 'Panama', 'Tunisia', 'Uruguay']",True,False,False
89899.3505879635,"['Botswana', 'Greece', 'Ireland', 'Jamaica', 'Mozambique', 'Tunisia']",True,True,False
89873.4415438459,"['Belarus', 'Hungary', 'Norway', 'Senegal', 'Tunisia', 'Uruguay']",True,False,False
89554.24709411278,"['Czech Republic', 'Finland', 'Moldova', 'Pakistan', 'Tunisia', 'Uruguay']",True,False,False
89218.394751575,"['Armenia', 'Jamaica', 'Latvia', 'Nigeria', 'Sweden', 'Tunisia']",True,True,False
88447.09328852175,"['Greece', 'Ireland', 'Jamaica', 'Tanzania', 'Tunisia', 'Zimbabwe']",True,True,False
88291.90253776827,"['Bhutan', 'Bulgaria', 'Cuba', 'Norway', 'Pakistan', 'Uruguay']",True,True,False
88227.09478342469,"['Greece', 'Haiti', 'Ireland', 'Jamaica', 'Togo', 'Tunisia']",True,True,False
87912.60091270534,"['Greece', 'Ireland', 'Morocco', 'Saint Kitts and Nevis', 'Tuvalu', 'Uruguay']",True,True,True
87149.7859694633,"['Equatorial Guinea', 'Greece', 'Ireland', 'Saint Vincent and the Grenadines', 'Tunisia', 'Uruguay']",True,True,False
87049.85068242071,"['Bulgaria', 'Cuba', 'Kyrgyzstan', 'Norway', 'Pakistan', 'Uruguay']",True,True,False
85045.69546009715,"['Greece', 'Ireland', 'Jamaica', 'Kenya', 'Morocco', 'San Marino']",True,True,False
84790.0050851324,"['Greece', 'Ireland', 'Jamaica', 'Mongolia', 'Tajikistan', 'Tunisia']",True,True,False
84648.31595208317,"['Bosnia and Herzegovina', ""Cote d'Ivoire"", 'Jamaica', 'Moldova', 'Portugal', 'Tunisia']",True,True,False
84596.96376028788,"['Greece', 'Ireland', 'Jamaica', 'Mongolia', 'Tunisia', 'Turkmenistan']",True,True,False
84417.24874079923,"['Andorra', 'Georgia', 'Greece', 'Ireland', 'Nigeria', 'Tunisia']",True,False,False
84000.12869707629,"['Denmark', 'Jamaica', 'Kenya', 'Macedonia', 'Moldova', 'Tunisia']",True,True,False
82371.60599774151,"['Greece', 'Ireland', 'Jamaica', 'Morocco', 'Nauru', 'Uruguay']",True,True,True
81681.85135638926,"['Bangladesh', 'Greece', 'Ireland', 'Jamaica', 'Timor-Leste', 'Tunisia']",True,True,True
80659.015067197,"['Greece', 'Ireland', 'Jamaica', 'Kenya', 'South Sudan', 'Tunisia']",True,True,False
77564.50500394746,"['Denmark', 'Jamaica', 'Liechtenstein', 'Mauritania', 'Monaco', 'Uruguay']",True,True,False
75258.6565817043,"['Greece', 'Ireland', 'Jamaica', 'Micronesia', 'Rwanda', 'Tunisia']",True,True,False
74857.43944001972,"['Greece', 'Kazakhstan', 'Nigeria', 'Spain', 'Tunisia', 'Uzbekistan']",True,False,False
